donor,status,NA,clustering,qc_num_umi,qc_num_reads,qc_mean_reads_per_umi,qc_std_reads_per_umi,qc_mapped_reads,qc_genome_not_gene,qc_unmapped_reads,qc_umi_corrected,qc_barcode_corrected,fineclusters
donor_3,control,PST45044_CSF,CD4_Tc,4124,29667,7.19374393792,5.45539980187,0.552196042741,0.30926618802,0.138537769239,0.00728081706947,0.0285502410085,Tc_2
donor_3,control,PST45044_CSF,aCD8_Tc,4937,33829,6.85213692526,5.27232576324,0.547873126607,0.297525791481,0.154601081912,0.0058825268261,0.0359159301191,aCD8
donor_3,control,PST45044_CSF,CD4_Tc,5636,41053,7.28406671398,5.44952167241,0.561810342728,0.299271673203,0.138917984069,0.00708839792463,0.0394611843227,Tc_3
donor_3,control,PST45044_CSF,nCD8_Tc,5583,37585,6.7320437041,5.24640323777,0.490860715711,0.361394173207,0.147745111082,0.00691765331914,0.0359717972595,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,8437,61921,7.33922010193,5.61190683712,0.498586909126,0.361977358247,0.139435732627,0.0070412299543,0.034511716542,Tc_3
donor_3,control,PST45044_CSF,nCD8_Tc,4600,33231,7.22413043478,5.51354696697,0.521741747164,0.321627396106,0.15663085673,0.00659023201228,0.0338539315699,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,4752,33325,7.01283670034,5.52402793691,0.474508627157,0.378454613653,0.14703675919,0.00639159789947,0.0386196549137,Tc_2
donor_3,control,PST45044_CSF,CD4_Tc,4281,29904,6.98528381219,5.23494889424,0.47067281969,0.383293204922,0.146033975388,0.00538389513109,0.0329721776351,Tc_2
donor_3,control,PST45044_CSF,CD4_Tc,5589,38360,6.86348183933,5.14261249273,0.581830031283,0.279144942649,0.139025026069,0.00771637122002,0.0357924921794,Tc_4
donor_3,control,PST45044_CSF,nCD8_Tc,3446,22845,6.62942542078,5.06256290648,0.480586561611,0.370803239221,0.148610199168,0.00560297658131,0.0346684175968,nCD8
donor_3,control,PST45044_CSF,nc_mono,14509,101922,7.0247432628,5.24159966523,0.526481034517,0.332048036734,0.141470928749,0.00750573968329,0.0373520927768,nc_mono
donor_3,control,PST45044_CSF,CD4_Tc,5639,38065,6.75031033871,5.03296048017,0.605753316695,0.255667936425,0.13857874688,0.00793379745173,0.0336004203336,Tc_4
donor_3,control,PST45044_CSF,nCD8_Tc,4593,29218,6.36141955149,4.86601945857,0.538469436649,0.318878773359,0.142651789992,0.00588678212061,0.034499281265,nCD8
donor_3,control,PST45044_CSF,nCD8_Tc,4143,27271,6.58242819213,5.03137430246,0.525649957831,0.325913974552,0.148436067618,0.00627039712515,0.0365223130798,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,6266,41000,6.54324928184,4.86764616228,0.504341463415,0.35412195122,0.141536585366,0.00719512195122,0.0362926829268,Tc_1
donor_3,control,PST45044_CSF,nCD8_Tc,4615,29520,6.39653304442,4.94723665559,0.493021680217,0.363516260163,0.143462059621,0.00687669376694,0.0382452574526,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,6950,46659,6.71352517986,5.03324147386,0.558220279046,0.301849589575,0.139930131379,0.00642962772455,0.0360916436272,Tc_3
donor_3,control,PST45044_CSF,CD4_Tc,4632,28910,6.24136442142,4.70251164362,0.479315115877,0.369629885853,0.15105499827,0.00639916983743,0.03770321688,Tc_1
donor_3,control,PST45044_CSF,nCD8_Tc,3901,23949,6.13919507819,4.73696367839,0.510919036285,0.345275376842,0.143805586872,0.00638857572341,0.0361184183056,nCD8
